Q,A,label
"배 위쪽이 아프고, 속이 안좋아요.","표층성 위염이에요. 소화성 궤양과 비슷한 증상이에요. 집에 위산 억제제나 위장 점막 보호제가 있다면 우선 복용하시는 것을 추천해드리며, 자극적인 음식 카페인 흡연 음주는 금합니다. 증상 완화가 잘 안된다면, 병원에가시는 것을 추천드립니다.",1
"소화가 잘 안되고, 입맛이 없고, 메스꺼러워요.","위축성 위염이에요. 위점막이 위축되어서 위산 분비가 감소하는 병입니다. 뚜렷한 증상은 없지만 소화불량과 구토 설사등이 있어요. 과식과 흡연 음주 카페인 자극적인 음식을 금합니다. 집에 위산 억제제나 위장점막 보호제가 있다면 우선 복용하시는 것을 추천합니다.",1
"소화가 잘 안되고, 입맛이 없고, 설사를 해요.","위축성 위염이에요. 위점막이 위축되어서 위산 분비가 감소하는 병입니다. 뚜렷한 증상은 없지만 소화불량과 구토 설사등이 있어요. 과식과 흡연 음주 카페인 자극적인 음식을 금합니다. 집에 위산 억제제나 위장점막 보호제가 있다면 우선 복용하시는 것을 추천합니다.",1
"명치나 오른쪽 위쪽 배가 아프고, 토도 했어요.","담석증이 의심됩니다. 담석에 의한 통증이 심할 경우, 우선 금식을 하고 진통제를 투여하며, 급성 담낭염이 의심되는 경우에는 금식을 하시고, 병원에 바로 가시는 것을 추천 드립니다. 병원에서 심한 담낭증이라고 생각하는 경우, 수술적 치료를 시행하실 수 있습니다.",1
"오른쪽 위쪽 배가 아프고, 토도 했고, 1시간동안 계속 아팠어요.","담석증이 의심됩니다. 담석에 의한 통증이 심할 경우, 우선 금식을 하고 진통제를 투여하며, 급성 담낭염이 의심되는 경우에는 금식을 하시고, 병원에 바로 가시는 것을 추천 드립니다. 병원에서 심한 담낭증이라고 생각하는 경우, 수술적 치료를 시행하실 수 있습니다.",1
갑자기 오른쪽 위쪽 배가 아프다가 서서히 안아파졌어요.,"담석증이 의심됩니다. 담석에 의한 통증이 심할 경우, 우선 금식을 하고 진통제를 투여하며, 급성 담낭염이 의심되는 경우에는 금식을 하시고, 병원에 바로 가시는 것을 추천 드립니다. 병원에서 심한 담낭증이라고 생각하는 경우, 수술적 치료를 시행하실 수 있습니다.",1
아랫배가 엄청 아프고 구토가 나와요. 분비물이 종종 노란색이나 녹색으로 변해요.,"여성의 경우 골반내감염이 의심할 수 있어요. 골반내감염의 경우, 일반적으로 성교 중에 감염된 파트너를 통해 전염됩니다. 항생제를 복용하면 되지만, 이후에도 지속되는 통증은 병원에 빠르게 가시기를 권고드립니다.",1
"열, 구토, 비정상적 질 분비물이 있고, 불규칙한 질 출혈이 있고, 아랫배가 너무 아파요.",여성의 경우 난관염이 예상됩니다. 말씀하신 증상이 나타나면 일찍 진단하여 충분한 치료를 하셔야 합니다. 항생제를 투여해야합니다. 인근 약국에서 항생제를 복용하시는 것을 추천드립니다.,1
배,"배가 많이 아프겠지만 자세히 말해주세요 통증이 지속적인지 통증의 부위가 전체인지, 특정 부위 (오른쪽 왼쪽 중앙 등) 인지, 최근에 음주를 했는지 등에 대해서 간단히 말해주세요.",1
머리,"머리가 많이 아프겠지만 눈물과 콧물이 함께 나오는지 두통이 심해서 잠에서 깬적이 있는지 최근에 약물 복용 또는 카페인 이나 알코올 과음을 하셨는지 뒷머리나 목이 조이면서 아픈 경우 등 특정 증상을 말해주세요.",1
아파,"많이 아프겠지만 증상을 자세히 말해주실 수 있나요?",1
머리가 심하게 아파서 자다가 깬 적있어,"뇌염 뇌농양 뇌내출혈 뇌종양 뇌진탕 등이 의심됩니다.  해당 병들은 모두 병원에 속히 가셔서 CT 촬영과 MRI 촬영을 통해서 확인합니다.",1
아파서 잠에서 깬적 있어,"심각한 상태 같아요 근데 머리가 아프신지 배가 아프신지 혹은 다른 곳이 아프신지 잘 모르겠어요 죄송하지만 자세히 말해주실 수 있나요?",1
숨을 못 쉴 것 같이 아파,"심근경색증 인 것 같아요 심근경색은 내일이라도 병원에 가셔야합니다 병원에 가시기 전까지 보호자와 동행하시되 보호자는 심장마비가 발생할 경우를 대비해 심폐소생술을 할 줄 알아야합니다 ",1
마음이 아파,속상한 일 있으시군요 그럴때는 다 잊고  NETFLIX 어때요?,1
속상해서 못 살겠어,속상한 일 있으시군요 많이 속상하신가요,1
안녕,안녕하세요? 어디아파 입니다 어디가 불편하신가요?,1
고마워,도움이 되셨다니 다행이에요. 빨리 나으셨으면 좋겠어요.,1
아니야,아닌가요? 죄송해요 제가 아직 멍청한가봐요,1
감사,어디아파'를 이용해주셔서 감사합니다! ,1
배가 땡겨요,근육통 일 수도 있어요. 혹시 최근에 운동을 하셨나요?,1
윗배가 아파서 허리를 펼 수가 없어요. 누우면 더 아파요.,"췌장염같네요 우선적으로 금식을 하셔야 합니다 또 췌장염의 경우 알코올이 주 원인이 되니 금주가 최선의 예방책이자 최고의 처치입니다 병원에 가시는게 최선입니다.",1
누워있으면 가슴이 화끈거리고 아파요.,"역류성 식도염이 예상됩니다 단순히 휴식을 취하시면 안됩니다 위산 분비를 억제하는 약물이 있다면 우선 섭취하시는 걸 추천드립니다 역류성 식도염은 재발이 잦으니 4주 정도 꾸준히 약물 치료를 하셔야합니다.",1
오른쪽 아랫배가 아파서 허리를 펼 수가 없어요.,"허리를 펴기 어려울 정도로 아프면서 수일간 통증이 지속된다면, 맹장염 같아요.",1
아랫배가 아파요,"여성의 경우, 월경중이시라면, 생리통입니다. 생리통을 완화하기 위해서는 , 월경과 상관없이 아프시다면, 장염 위염 담석 급성 담낭염 등 다양한 질병일 수 있습니다. 하지만, 열 구토 비정사적인 분비물 등이 없으시다면, 장염  위염 담석 급성 담낭염등이 의심됩니다. 장염의 경우, 설사 구토 복부 통증이 수반합니다. 병원에 가시는 것을 추천드리며, 그 전까지는 많은 수분 섭취를 권장합니다. 위염의 경우, 집에 위산 억제제나 위장점막 보호제가 있다면 우선 복용하시는 것을 추천합니다. 담석의 경우, 우선 금식을 하고 진통제를 투여한 후, 병원에 가시는 것을 추천합니다. 급성 담낭염의 경우, 바로 응급실로 가시는 것이 필요하니 자세한 증상을 한번더 검색해 주세요.",1
속상해 ,속상한 일 있으시군요 그럴때는 다 잊고 WATCHA 어때요?,1
고마워요,도움이 되셨다니 다행이에요 빨리 나으셨으면 좋겠어요.,1
배가 부른 느낌과 함께 머리가 어지럽고 아파.,"소화가 제대로 안되어서 피를 만들어내지 못하거나 기운을 내지 못해 두통이 오는 현상입니다 두통과 착각하여 두통약을 복용하시는 일은 방지했으면 좋겠습니다 또 채했을 때는 우선 소화제를 복용하시고 생활 습관과 식습관을 개선하시는 것이 바람직합니다.",1
"설사를 하고 피가 섞인 변이 나와요.","묽은 변 설사 등이 6주 이상 지속되시면 대장염으로 추측되니 병원에 가시는 것을 추천드립니다 대장염의 경우 차후에 대장암으로 발전 될 수 있는 위험 인자 중 하나입니다. 그렇기 때문에, 우선적으로 염증을 가라앉히는 약 소염제를 복용하시고, 병원에 가시는 것을 추천드립니다.",1
"설사와 구토를 하고 피가 섞인 똥이 나와요.","묽은 변 설사 등이 6주 이상 지속되시면 대장염으로 추측되니 병원에 가시는 것을 추천드립니다 대장염의 경우 차후에 대장암으로 발전 될 수 있는 위험 인자 중 하나입니다. 그렇기 때문에, 우선적으로 염증을 가라앉히는 약 소염제를 복용하시고, 병원에 가시는 것을 추천드립니다.",1
"배를 만질 수 없을 정도로 아프고 눌렀다가 손을 떼었을 때에 엄청 아파요.","복막염입니다. 담낭의 염증이 원인이 된 경우는 우상 복부 통증과 고열이 있으며, 화농되어 담낭이 터진 경우인데, 이는 사망에 이르게 하니, 조심하셔야 하며, 병원에 가시는 것을 추천드립니다.",1
"배의 위쪽이 엄청 아프고 배를 만지면 딱딱해요.","복막염입니다 소화성 궤양을 적절하게 치료하지 않아 복막염이 생긴 경우입니다. 우선은 금식을 하시고, 정확한 증상을 파악하신 뒤, 병원에 가시는 것을 추천드립니다.",1
"배를 누르면 아프고 손발이 차고 열이 나요","복막염으로 예상됩니다 정확한 진단을 위해 배의 위쪽이 아프고 배가 딱딱해 졌는지 혹은 배를 눌렀다가 떼었을 때 아픈지 등 파악하시고, 병원에 빠르게 가시는 것을 추천드립니다.",1
나 배가 너무 아파,"배가 많이 아프겠지만 자세히 말해주세요 통증이 지속적인지 통증의 부위가 전체인지, 특정 부위 (오른쪽 왼쪽 중앙 등) 인지, 최근에 음주를 했는지 등에 대해서 간단히 말해주세요.",1
배 아프다고,"배가 많이 아프겠지만 자세히 말해주세요 통증이 지속적인지 통증의 부위가 전체인지, 특정 부위 (오른쪽 왼쪽 중앙 등) 인지, 최근에 음주를 했는지 등에 대해서 간단히 말해주세요.",1
나 배가 아파,"배가 많이 아프겠지만 자세히 말해주세요 통증이 지속적인지 통증의 부위가 전체인지, 특정 부위 (오른쪽 왼쪽 중앙 등) 인지, 최근에 음주를 했는지 등에 대해서 간단히 말해주세요.",1
배 많이 아파,"배가 많이 아프겠지만 자세히 말해주세요 통증이 지속적인지 통증의 부위가 전체인지, 특정 부위 (오른쪽 왼쪽 중앙 등) 인지, 최근에 음주를 했는지 등에 대해서 간단히 말해주세요.",1
배가 너무 아파,"배가 많이 아프겠지만 자세히 말해주세요 통증이 지속적인지 통증의 부위가 전체인지, 특정 부위 (오른쪽 왼쪽 중앙 등) 인지, 최근에 음주를 했는지 등에 대해서 간단히 말해주세요.",1
아이고 나 죽네,"죽지마세요ㅠㅠ",1
힘들어... ,속상한 일 있으시군요 그럴때는 다 잊고 WATCHA 어때요?,1
ㅠㅠㅠ,속상한 일 있으시군요 그럴때는 다 잊고  NETFLIX 어때요?,1
ㅠㅠㅠㅠㅠ 너무 힘들어, 속상한 일 있으시군요 그럴때는 다 잊고  NETFLIX 어때요?,1
죽겠다 진짜,속상한 일 있으시군요 그럴때는 다 잊고  NETFLIX 어때요?,1
힘들어 죽겠다,속상한 일 있으시군요 그럴때는 다 잊고  NETFLIX 어때요?,1
